rotten_id	title	year	mpaa_rating	runtime	release_theater	release_dvd	critics_rating	critics_score	audience_rating	audience_score	reviews_num
770681481	Ice Age: Dawn of the Dinosaurs (Ice Age 3)	2009	PG	94	2009-07-01	2009-10-27	45	Rotten	63	Upright	160
770681871	Public Enemies	2009	R	140	2009-07-01	2009-12-08	68	Fresh	59	Spilled	263
770806884	I Hate Valentine's Day	2009	PG-13	89	2009-07-03	2010-02-09	19	Rotten	28	Spilled	27
770792408	I Love You Beth Cooper	2009	PG-13	102	2009-07-10	2009-11-03	14	Rotten	32	Spilled	117
686047248	Blood: The Last Vampire	2009	R	89	2009-07-10	2009-10-20	22	Rotten	33	Spilled	51
770802769	Humpday	2009	R	94	2009-07-10	2009-11-17	79	Certified Fresh	51	Spilled	132
770672988	Harry Potter and the Half-Blood Prince	2009	PG	154	2009-07-15	2009-12-08	84	Certified Fresh	77	Upright	263
770809250	Homecoming	2009	R	90	2009-07-17	2010-04-20	0	Rotten	34	Spilled	24
770801801	500 Days of Summer	2009	PG-13	95	2009-07-17	2009-12-22	86	Certified Fresh	84	Upright	214
770796963	G-Force	2009	PG	90	2009-07-24	2009-12-15	22	Rotten	40	Spilled	125
770801898	Orphan	2009	R	123	2009-07-24	2009-10-27	55	Rotten	64	Upright	148
770789184	The Ugly Truth	2009	R	96	2009-07-24	2009-11-10	13	Rotten	61	Upright	169
770800728	The Answer Man (Arlen Faber)	2009	R	95	2009-07-24	2009-11-03	30	Rotten	43	Spilled	44
770783979	In the Loop	2008	Unrated	102	2009-07-24	2010-01-12	94	Certified Fresh	81	Upright	171
770799859	Shrink	2008	R	104	2009-07-24	2009-09-29	29	Rotten	51	Spilled	63
770672879	Adam	2009	PG-13	99	2009-07-29	2010-02-02	64	Fresh	72	Upright	128
770698400	Aliens in the Attic	2009	PG	86	2009-07-31	2009-11-03	31	Rotten	44	Spilled	72
770811108	The Collector	2009	R	88	2009-07-31	2010-04-06	30	Rotten	47	Spilled	69
770752737	Funny People	2009	R	146	2009-07-31	2009-11-24	68	Fresh	48	Spilled	228
770802994	The Cove	2008	PG-13	91	2009-04-25	2009-12-08	94	Certified Fresh	94	Upright	126
770677827	G.I. Joe: The Rise of Cobra	2009	PG-13	118	2009-08-07	2009-11-03	35	Rotten	50	Spilled	159
770802777	Julie & Julia	2009	PG-13	123	2009-08-07	2009-12-08	75	Certified Fresh	70	Upright	215
770803513	A Perfect Getaway	2009	R	97	2009-08-07	2009-12-29	60	Fresh	52	Spilled	134
770802042	Cold Souls	2009	PG-13	97	2009-08-07	2010-03-02	74	Certified Fresh	53	Spilled	121
770802830	Paper Heart	2009	PG-13	89	2009-08-14	2009-12-01	57	Rotten	45	Spilled	111
770686249	Bandslam	2009	PG	111	2009-08-14	2010-03-16	81	Certified Fresh	64	Upright	100
770805203	District 9	2009	R	112	2009-08-14	2009-12-22	90	Certified Fresh	82	Upright	262
770789347	The Goods: Live Hard, Sell Hard	2009	R	89	2009-08-14	2009-11-10	27	Rotten	37	Spilled	102
770681325	Ponyo	2008	G	101	2009-08-14	2010-03-02	92	Certified Fresh	83	Upright	159
770680255	The Time Traveler's Wife	2009	PG-13	108	2009-08-14	2010-02-09	37	Rotten	60	Upright	159
770803388	Earth Days	2009	Unrated	102	2009-08-14	2010-04-20	84	Fresh	61	Upright	31
770802822	Grace	2009	R	84	2009-08-14	2009-09-15	67	Fresh	31	Spilled	27
770679658	I Sell the Dead	2008	Unrated	85	2008-10-10	2010-03-30	74	Certified Fresh	47	Spilled	43
770798062	It Might Get Loud	2009	PG	98	2009-08-14	2009-12-22	80	Certified Fresh	85	Upright	109
770801783	Spread	2009	R	97	2009-02-06	2009-11-10	21	Rotten	28	Spilled	64
770671947	Inglourious Basterds	2009	R	153	2009-08-21	2009-12-15	89	Certified Fresh	87	Upright	273
770684452	Post Grad	2009	PG-13	88	2009-08-21	2010-01-12	8	Rotten	27	Spilled	99
770813764	X Games 3D: The Movie	2009	PG	92	2009-08-21	2010-01-12	40	Rotten	65	Upright	30
770802979	Art & Copy	2008	Unrated	86	2009-03-27	2010-05-04	58	Rotten	63	Upright	26
770804197	My One and Only	2009	PG-13	85	2009-08-21	2010-02-09	68	Fresh	51	Spilled	73
770802334	World's Greatest Dad	2009	R	99	2009-08-21	2009-12-08	89	Certified Fresh	66	Upright	115
770685807	The Final Destination	2009	R	82	2009-08-28	2010-01-05	29	Rotten	36	Spilled	96
770803688	H2: Halloween II	2009	R	106	2009-08-28	2010-01-12	20	Rotten	45	Spilled	74
770790009	Taking Woodstock	2009	R	121	2009-08-28	2009-12-15	48	Rotten	47	Spilled	179
770802628	Big Fan	2009	R	85	2009-08-28	2010-01-12	86	Certified Fresh	62	Upright	88
770802324	Mystery Team	2008	R	107	2009-08-28	2010-05-25	53	Rotten	64	Upright	17
770680913	All About Steve	2009	PG-13	99	2009-09-04	2009-12-22	7	Rotten	30	Spilled	135
770791072	Extract	2009	R	90	2009-09-04	2009-12-22	63	Fresh	38	Spilled	185
770681197	Gamer	2009	R	95	2009-09-04	2010-01-19	29	Rotten	39	Spilled	79
770801792	Amreeka	2009	PG-13	96	2009-09-04	2010-01-12	87	Certified Fresh	75	Upright	70
770808363	Carriers	2009	PG-13	84	2009-09-04	2009-12-29	63	Fresh	39	Spilled	32
770783485	Nine	2009	PG-13	113	2009-12-25	2010-05-04	37	Rotten	37	Spilled	195
18463	I Can Do Bad All By Myself	2009	PG-13	113	2009-09-11	2005-06-28	63	Fresh	81	Upright	44
770798314	Sorority Row	2009	R	101	2009-09-11	2010-02-23	22	Rotten	32	Spilled	78
770674765	Whiteout	2009	R	106	2009-09-11	2010-01-19	7	Rotten	21	Spilled	114
770802995	Crude	2009	Unrated	100	2009-09-09	2010-02-23	95	Certified Fresh	84	Upright	64
770804905	Beyond a Reasonable Doubt	2009	PG-13	105	2009-02-05	2009-12-22	7	Rotten	36	Spilled	28
